"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"ENSMUSG00000103509",18.6209379777893,1.75114734661758,0.636229654723567,2.75238246695437,0.00591633792223153,0.0385338007491541,"Up-regulated"
"ENSMUSG00000048538",1852.66489977469,0.87321789350306,0.175986110837059,4.96185687239575,6.9822440109456e-07,2.50676250667478e-05,"Up-regulated"
"ENSMUSG00000012187",274.776379814692,-1.11849107591134,0.236172046183993,-4.73591643881496,2.18067429770768e-06,6.75317486529008e-05,"Down-regulated"
"ENSMUSG00000026043",1543.6314786802,-1.52567854389126,0.470766140899018,-3.24084170747217,0.00119177341485203,0.0112917832993225,"Down-regulated"
"ENSMUSG00000099858",223.910550166998,1.35770883811607,0.20733371036923,6.54842300221317,5.81478234897905e-11,7.9602740044715e-09,"Up-regulated"
"ENSMUSG00000026475",2926.07317068691,-1.21178503973669,0.233230985899412,-5.19564343075455,2.04012967896561e-07,9.30960110202128e-06,"Down-regulated"
"ENSMUSG00000048960",246.582118406041,0.899651337314852,0.266880265380925,3.37099236629863,0.000748979331845386,0.00779193838982331,"Up-regulated"
"ENSMUSG00000033701",566.401795386489,-0.627633072807826,0.160827014882686,-3.90253511367882,9.51904235361796e-05,0.00152221541916808,"Down-regulated"
"ENSMUSG00000026489",7564.63556419328,-0.700577921444393,0.144294009047127,-4.85521142610697,1.20258364866313e-06,4.0437537158816e-05,"Down-regulated"
"ENSMUSG00000104520",19.0179346486241,-2.04983708529268,0.639823661486166,-3.20375317244657,0.00135648716580337,0.0124388971364846,"Down-regulated"
"ENSMUSG00000010609",4811.27506721087,-0.709665087501158,0.135892365914267,-5.22225868043888,1.76753819391108e-07,8.35190305303533e-06,"Down-regulated"
"ENSMUSG00000037035",73.869613994742,-1.29883066894291,0.322876047842325,-4.02269130095766,5.75368874004556e-05,0.00102741376678787,"Down-regulated"
"ENSMUSG00000102982",75.4466944529895,1.36971795567305,0.351737084332158,3.89415281096599,9.85425178834233e-05,0.00156048735346636,"Up-regulated"
"ENSMUSG00000073485",21.6619056502474,1.36124040162034,0.515704190491381,2.63957599476418,0.00830098099168934,0.0492477803022542,"Up-regulated"
"ENSMUSG00000064281",35.1714287641107,-2.36856104346561,0.473297383150091,-5.00438229280152,5.60414425787794e-07,2.06255037913056e-05,"Down-regulated"
"ENSMUSG00000026520",108.653880290652,-0.689349440556627,0.246156206114721,-2.80045525334167,0.00510305818104622,0.0343518365054986,"Down-regulated"
"ENSMUSG00000003721",5966.05468747765,-1.54584934121515,0.184171950611875,-8.39351125988169,4.71834449528997e-17,2.3832520747244e-14,"Down-regulated"
