"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0006119","oxidative phosphorylation","65/1348","154/28928",0.422077922077922,9.05776715865737,22.1653435702794,2.61907388408872e-45,1.43839537714153e-41,1.16479864844999e-41,"Ndufb3/Cox5b/Atp5f1e/Ndufa8/Cox7b/Ndufa1/Ndufb11/Ndufb5/Ndufc1/Atp5if1/Ak4/Ndufs5/Ndufb6/Uqcrh/Atp5mf/Atp5me/Chchd2/Cox6a1/Iscu/Ndufa5/Nupr1/Ndufa3/Ndufab1/Cox7a1/Cox6b1/Chchd10/Ndufs7/Uqcr11/Ndufa12/Cdk1/Atp5f1d/Ndufb7/Ndufa13/Cox4i1/Ppif/Cox7a2/Cox5a/Apoc3/Uqcrq/Atp5pd/Uqcr10/Ndufs6/Uqcrfs1/Cox7c/Uqcrb/Ccnb1/Ndufb1/Ndufa6/Ndufb9/Cox6c/Ndufb4/Atp5pf/Atp5po/Uqcc2/Ndufv3/Antkmt/Ndufa7/Ndufa11/Ndufa2/Fxn/Ndufs8/Uqcc3/Cox8a/ATP6/ND4",65
"BP","GO:0009060","aerobic respiration","66/1348","206/28928",0.320388349514563,6.87551496643715,18.7099109764722,3.98628265978579e-37,1.09463321837718e-33,8.8642338092605e-34,"Ndufb3/Cox5b/Atp5f1e/Ndufa8/Cox7b/Ndufa1/Ndufb11/Ndufb5/Ndufc1/Atp5if1/Ak4/Ndufs5/Ndufb6/Uqcrh/Atp5mf/Atp5me/Chchd2/Cox6a1/Iscu/Ndufa5/Nupr1/Ndufa3/Ndufab1/Cox7a1/Cox6b1/Chchd10/Ndufs7/Uqcr11/Ndufa12/Cdk1/Atp5f1d/Ndufb7/Ndufa13/Cox4i1/Ppif/Cox7a2/Cox5a/Apoc3/Uqcrq/Atp5pd/Uqcr10/Ndufs6/Uqcrfs1/Cox7c/Uqcrb/Mrps36/Ccnb1/Ndufb1/Ndufa6/Ndufb9/Cox6c/Ndufb4/Atp5pf/Atp5po/Uqcc2/Ndufv3/Antkmt/Ndufa7/Ndufa11/Ndufa2/Fxn/Ndufs8/Uqcc3/Cox8a/ATP6/ND4",66
"BP","GO:0045333","cellular respiration","72/1348","271/28928",0.265682656826568,5.70153404798143,17.1912866605673,2.15153253337619e-34,3.93873889110067e-31,3.18955261526821e-31,"Coq10b/Ndufb3/Cox5b/Opn3/Atp5f1e/Ndufa8/Mtln/Cox7b/Ndufa1/Ndufb11/Ndufb5/Ndufc1/Atp5if1/Ak4/Ndufs5/Ndufb6/Uqcrh/Atp5mf/Atp5me/Chchd2/Cox6a1/Iscu/Ndufa5/Nupr1/Ndufa3/Ndufab1/Bax/Cox7a1/Cox6b1/Cisd1/Chchd10/Ndufs7/Uqcr11/Ndufa12/Cdk1/Atp5f1d/Ndufb7/Ndufa13/Cox4i1/Ppif/Cox7a2/Cox5a/Apoc3/Cyp1a2/Uqcrq/Atp5pd/Uqcr10/Ndufs6/Uqcrfs1/Cox7c/Uqcrb/Mrps36/Ccnb1/Ndufb1/Ndufa6/Ndufb9/Cox6c/Ndufb4/Atp5pf/Atp5po/Uqcc2/Ndufv3/Antkmt/Ndufa7/Ndufa11/Ndufa2/Fxn/Ndufs8/Uqcc3/Cox8a/ATP6/ND4",72
"BP","GO:0015986","proton motive force-driven ATP synthesis","40/1348","73/28928",0.547945205479452,11.7588715905857,20.3477844258776,4.41790579266516e-34,5.71220224595016e-31,4.62568606760828e-31,"Ndufb3/Atp5f1e/Atp5mc3/Ndufa8/Ndufa1/Ndufb11/Ndufb5/Ndufc1/Atp5if1/Ndufs5/Ndufb6/Atp5mf/Atp5me/Ndufa5/Ndufa3/Ndufab1/Ndufs7/Ndufa12/Atp5f1d/Ndufb7/Ndufa13/Atp5mg/Atp5pd/Atp5mc1/Ndufs6/Ndufb1/Ndufa6/Ndufb9/Atp5mc2/Ndufb4/Atp5pf/Atp5po/Ndufv3/Antkmt/Ndufa7/Ndufa11/Ndufa2/Ndufs8/ATP6/ND4",40
"BP","GO:0006754","ATP biosynthetic process","46/1348","102/28928",0.450980392156863,9.67801245127131,19.4100956991316,5.20047546062469e-34,5.71220224595016e-31,4.62568606760828e-31,"Ndufb3/Atp5f1e/Atp5mc3/Ndufa8/Ndufa1/Ndufb11/Ndufb5/Ndufc1/Atp5if1/Ndufs5/Ndufb6/Nudt2/Atp5mf/Atp5me/Hnf1a/Ndufa5/Ndufa3/Ndufab1/Aldoa/Ndufs7/Ndufa12/Atp5f1d/Ndufb7/Ndufa13/Atp5mg/Cox11/Atp5pd/Atp5mc1/Ndufs6/Ndufb1/Ndufa6/Ndufb9/Atp5mc2/Ndufb4/Atp5pf/Atp5po/Trem2/Ndufv3/Antkmt/Ndufa7/Ndufa11/Ndufa2/Ndufs8/Uqcc3/ATP6/ND4",46
"BP","GO:0009201","ribonucleoside triphosphate biosynthetic process","49/1348","119/28928",0.411764705882353,8.83644615116076,18.9377358916488,7.88541987830369e-34,7.21778766194065e-31,5.84489455891809e-31,"Ndufb3/Atp5f1e/Atp5mc3/Uck1/Ndufa8/Ndufa1/Ndufb11/Ndufb5/Ndufc1/Atp5if1/Ndufs5/Ndufb6/Nudt2/Atp5mf/Atp5me/Hnf1a/Ndufa5/Ndufa3/Ndufab1/Aldoa/Ndufs7/Ndufa12/Atp5f1d/Ndufb7/Ndufa13/Pnp/Atp5mg/Cox11/Atp5pd/Nme1/Atp5mc1/Ndufs6/Ndufb1/Ndufa6/Ndufb9/Atp5mc2/Ndufb4/Atp5pf/Atp5po/Trem2/Ndufv3/Antkmt/Ndufa7/Ndufa11/Ndufa2/Ndufs8/Uqcc3/ATP6/ND4",49
"BP","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","48/1348","114/28928",0.421052631578947,9.03576448539747,19.0054152323206,1.03143709922216e-33,8.09236078418301e-31,6.55311540483253e-31,"Ndufb3/Atp5f1e/Atp5mc3/Ndufa8/Ndufa1/Ndufb11/Ndufb5/Ndufc1/Atp5if1/Ndufs5/Ndufb6/Nudt2/Atp5mf/Atp5me/Hnf1a/Ndufa5/Ndufa3/Ndufab1/Aldoa/Ndufs7/Ndufa12/Atp5f1d/Ndufb7/Ndufa13/Pnp/Atp5mg/Cox11/Atp5pd/Nme1/Atp5mc1/Ndufs6/Ndufb1/Ndufa6/Ndufb9/Atp5mc2/Ndufb4/Atp5pf/Atp5po/Trem2/Ndufv3/Antkmt/Ndufa7/Ndufa11/Ndufa2/Ndufs8/Uqcc3/ATP6/ND4",48
"BP","GO:0009142","nucleoside triphosphate biosynthetic process","50/1348","126/28928",0.396825396825397,8.51584946540436,18.6918176496879,1.46441288305767e-33,1.00531944421909e-30,8.14097951436663e-31,"Ndufb3/Atp5f1e/Atp5mc3/Uck1/Ndufa8/Ndufa1/Ndufb11/Ndufb5/Ndufc1/Atp5if1/Ak4/Ndufs5/Ndufb6/Nudt2/Atp5mf/Atp5me/Hnf1a/Ndufa5/Ndufa3/Ndufab1/Aldoa/Ndufs7/Ndufa12/Atp5f1d/Ndufb7/Ndufa13/Pnp/Atp5mg/Cox11/Atp5pd/Nme1/Atp5mc1/Ndufs6/Ndufb1/Ndufa6/Ndufb9/Atp5mc2/Ndufb4/Atp5pf/Atp5po/Trem2/Ndufv3/Antkmt/Ndufa7/Ndufa11/Ndufa2/Ndufs8/Uqcc3/ATP6/ND4",50
"BP","GO:0009145","purine nucleoside triphosphate biosynthetic process","48/1348","115/28928",0.417391304347826,8.95719262030706,18.9022744561882,1.69224268629452e-33,1.03264409256994e-30,8.36225187087056e-31,"Ndufb3/Atp5f1e/Atp5mc3/Ndufa8/Ndufa1/Ndufb11/Ndufb5/Ndufc1/Atp5if1/Ndufs5/Ndufb6/Nudt2/Atp5mf/Atp5me/Hnf1a/Ndufa5/Ndufa3/Ndufab1/Aldoa/Ndufs7/Ndufa12/Atp5f1d/Ndufb7/Ndufa13/Pnp/Atp5mg/Cox11/Atp5pd/Nme1/Atp5mc1/Ndufs6/Ndufb1/Ndufa6/Ndufb9/Atp5mc2/Ndufb4/Atp5pf/Atp5po/Trem2/Ndufv3/Antkmt/Ndufa7/Ndufa11/Ndufa2/Ndufs8/Uqcc3/ATP6/ND4",48
"BP","GO:0009260","ribonucleotide biosynthetic process","57/1348","177/28928",0.322033898305085,6.91082834582306,17.4384554493392,2.32310010364252e-32,1.27584657692047e-29,1.03316820398838e-29,"Ndufb3/Atp5f1e/Atp5mc3/Uck1/Ndufa8/Upp2/Ndufa1/Ndufb11/Ndufb5/Gucy1a1/Ndufc1/Atp5if1/Ak4/Ndufs5/Ndufb6/Nudt2/Cda/Atp5mf/Atp5me/Hnf1a/Ppat/Ndufa5/Ndufa3/Ndufab1/Aldoa/Ndufs7/Ndufa12/Atp5f1d/Ndufb7/Ndufa13/Aprt/Pnp/Atp5mg/Cox11/Atp5pd/Guk1/Nme1/Atp5mc1/Ndufs6/Ndufb1/Ndufa6/Ndufb9/Atp5mc2/Ndufb4/Adcy9/Atp5pf/Atp5po/Trem2/Ndufv3/Antkmt/Ndufa7/Ndufa11/Ndufa2/Ndufs8/Uqcc3/ATP6/ND4",57
