"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Energy metabolism","mmu00190","Oxidative phosphorylation","63/717","141/11157",0.446808510638298,6.95263954420012,18.641066643815,4.52470422147052e-38,1.47957828042086e-35,1.35264841989224e-35,"Ndufb3/Cox5b/Atp5f1e/Atp5mc3/Ndufa8/Cox7b/Ndufa1/Ndufb11/Ndufb5/Ppa2/Ndufc1/Atp6v1g1/Ndufs5/Ndufb6/Atp6v0b/Uqcrh/Atp5mf/Atp5me/Cox6a1/Ndufa4/Ndufa5/Atp6v1f/Ndufa3/Ndufab1/Cox7a1/Cox6b1/Ndufs7/Uqcr11/Ndufa12/Atp5f1d/Ndufb7/Ndufa13/Cox4i1/Cox7a2/Cox5a/Atp5mg/Uqcrq/Cox11/Atp5pd/Uqcr10/Atp5mc1/Ndufs6/Uqcrfs1/Cox7c/Uqcrb/Ndufb1/Ndufa6/Ndufb9/Ndufb4c/Cox6c/Atp5mc2/Ndufb4/Atp5pf/Cox17/Atp5po/Ndufv3/Ndufa7/Ndufa11/Ndufa2/Ndufs8/Cox8a/ATP6/ND4",63
"Human Diseases","Cancer: overview","mmu05208","Chemical carcinogenesis - reactive oxygen species","69/717","229/11157",0.301310043668122,4.68858599331275,14.7798794588821,7.01343339295095e-29,1.14669635974748e-26,1.04832372820951e-26,"Ndufb3/Cox5b/Mgst3/Atp5f1e/Atp5mc3/Abl1/Ndufa8/Cox7b/Ndufa1/Ndufb11/Ndufb5/Gstm5/Gstm6/Gstm3/Gstm2/Gstm1/Ndufc1/Ndufs5/Ndufb6/Jun/Uqcrh/Cox6a1/Ndufa4/Ndufa5/Nox4/Ndufa3/Ndufab1/Cox7a1/Cox6b1/Gstt1/Ndufs7/Uqcr11/Ndufa12/Atp5f1d/Ndufb7/Ndufa13/Cox4i1/Ppif/Cox7a2/Cox5a/Pik3cb/Cyp1a2/Uqcrq/Atp5pd/Uqcr10/Atp5mc1/Ndufs6/Uqcrfs1/Cox7c/Uqcrb/Sos2/Ndufb1/Ndufa6/Ndufb9/Ndufb4c/Cox6c/Atp5mc2/Ndufb4/Atp5pf/Atp5po/Cbr1/Ndufv3/Ndufa7/Ndufa11/Ndufa2/Ndufs8/Cox8a/ATP6/ND4",69
"Organismal Systems","Environmental adaptation","mmu04714","Thermogenesis","69/717","238/11157",0.289915966386555,4.51128652297739,14.3491738176957,9.48216823893016e-28,1.03355633804339e-25,9.44889747317953e-26,"Ndufb3/Cox5b/Atp5f1e/Atp5mc3/Ndufa8/Cox7b/Ndufa1/Ndufb11/Ndufb5/Ndufc1/Ndufs5/Ndufb6/Uqcrh/Atp5mf/Atp5me/Prkag2/Cox6a1/Ndufa4/Ndufa5/Ndufa3/Ndufab1/Fgf21/Cox7a1/Cox6b1/Akt1s1/Ndufs7/Uqcr11/Ndufa12/Atp5f1d/Ndufb7/Ndufa13/Cox4i1/Cox7a2/Cox5a/Ndufaf3/Atp5mg/Coa3/Ndufaf8/Uqcrq/Cox11/Atp5pd/Uqcr10/Atp5mc1/Ndufs6/Uqcrfs1/Cox7c/Uqcrb/Sos2/Ndufb1/Ndufa6/Ndufb9/Ndufb4c/Cox6c/Cox14/Atp5mc2/Ndufb4/Adcy9/Atp5pf/Cox17/Atp5po/Ndufv3/Ndufa7/Ndufa11/Ndufa2/Smarca2/Ndufs8/Cox8a/ATP6/ND4",69
"Human Diseases","Neurodegenerative disease","mmu05016","Huntington disease","76/717","308/11157",0.246753246753247,3.8396457099386,13.2436667284069,1.61539013871153e-25,1.32058143839668e-23,1.20729157735283e-23,"Ndufb3/Cox5b/Atp5f1e/Atp5mc3/Tubb4b/Ndufa8/Cox7b/Ndufa1/Ndufb11/Ndufb5/Ndufc1/Ndufs5/Ndufb6/Dctn3/Uqcrh/Polr2j/Cox6a1/Ndufa4/Ndufa5/Itpr1/Sem1/Ndufa3/Ndufab1/Polr2l/Bbc3/Bax/Cox7a1/Polr2i/Cox6b1/Ap2s1/Kif5a/Ndufs7/Uqcr11/Ndufa12/Atp5f1d/Ndufb7/Ndufa13/Cox4i1/Ppif/Psmb5/Cox7a2/Cox5a/Uqcrq/Gpx3/Ern1/Atp5pd/Uqcr10/Atp5mc1/Ndufs6/Uqcrfs1/Tubb2a/Cox7c/Uqcrb/Gpx6/Ndufb1/Ndufa6/Ndufb9/Ndufb4c/Cox6c/Polr2k/Polr2f/Tuba1b/Tuba1a/Atg101/Atp5mc2/Ndufb4/Atp5pf/Atp5po/Ndufv3/Ndufa7/Ndufa11/Ndufa2/Ndufs8/Cox8a/ATP6/ND4",76
"Human Diseases","Neurodegenerative disease","mmu05020","Prion disease","71/717","273/11157",0.26007326007326,4.04691403436173,13.3570588510828,2.31945303320481e-25,1.51692228371595e-23,1.38678876090562e-23,"Ndufb3/Cox5b/Atp5f1e/Atp5mc3/Tubb4b/C8g/Ndufa8/Cox7b/Ndufa1/Ndufb11/Ndufb5/Ndufc1/Ndufs5/Ndufb6/C8b/C8a/Uqcrh/Cox6a1/Ndufa4/Ndufa5/Itpr1/Sem1/Ndufa3/Ndufab1/Bax/Cox7a1/Cox6b1/Kif5a/Ddit3/Ndufs7/Uqcr11/Ndufa12/Atp5f1d/Ndufb7/Ndufa13/Cox4i1/Ppif/Psmb5/Cox7a2/Cox5a/Pik3cb/Uqcrq/Atp5pd/Uqcr10/Atp5mc1/Ndufs6/Uqcrfs1/Tubb2a/Cox7c/Uqcrb/Ndufb1/Ndufa6/Ndufb9/Ndufb4c/Cox6c/Tuba1b/Tuba1a/Atp5mc2/Ndufb4/Atp5pf/Atp5po/Ndufv3/Hspa1b/Csnk2b/Ndufa7/Ndufa11/Ndufa2/Ndufs8/Cox8a/ATP6/ND4",71
"Human Diseases","Neurodegenerative disease","mmu05012","Parkinson disease","71/717","274/11157",0.259124087591241,4.03214427511224,13.3172456285925,2.94804523452387e-25,1.60668465281551e-23,1.46885060807856e-23,"Ndufb3/Cox5b/Atp5f1e/Atp5mc3/Tubb4b/Ndufa8/Cox7b/Ndufa1/Ndufb11/Ndufb5/Ndufc1/Ndufs5/Ndufb6/Txn1/Uqcrh/Ubc/Cox6a1/Ndufa4/Ndufa5/Itpr1/Sem1/Ndufa3/Ndufab1/Bax/Cox7a1/Cox6b1/Kif5a/Ddit3/Slc39a5/Ndufs7/Uqcr11/Ndufa12/Atp5f1d/Ndufb7/Ndufa13/Uba52/Cox4i1/Ppif/Psmb5/Cox7a2/Cox5a/Uba7/Uqcrq/Ern1/Atp5pd/Uqcr10/Atp5mc1/Ndufs6/Uqcrfs1/Tubb2a/Cox7c/Uqcrb/Ndufb1/Ndufa6/Ndufb9/Ndufb4c/Cox6c/Tuba1b/Tuba1a/Atp5mc2/Ndufb4/Atp5pf/Atp5po/Ndufv3/Ndufa7/Ndufa11/Ndufa2/Ndufs8/Cox8a/ATP6/ND4",71
"Human Diseases","Cardiovascular disease","mmu05415","Diabetic cardiomyopathy","61/717","216/11157",0.282407407407407,4.3944483186115,13.2017391891297,5.95602059942459e-24,2.78231248001692e-22,2.54362383494223e-22,"Col3a1/Ndufb3/Mpc2/Cox5b/Atp5f1e/Atp5mc3/Ndufa8/Cox7b/Ndufa1/Ndufb11/Ndufb5/Ndufc1/Ndufs5/Ndufb6/Uqcrh/Cox6a1/Ndufa4/Ndufa5/Pdk4/Ndufa3/Ndufab1/Cox7a1/Cox6b1/Ppp1ccb/Ndufs7/Uqcr11/Ndufa12/Atp5f1d/Ndufb7/Ndufa13/Cox4i1/Tbc1d4/Ppif/Cox7a2/Cox5a/Pik3cb/Uqcrq/Atp5pd/Uqcr10/Atp5mc1/Ndufs6/Uqcrfs1/Cox7c/Uqcrb/Ndufb1/Ndufa6/Ndufb9/Ndufb4c/Cox6c/Atp5mc2/Ndufb4/Atp5pf/Atp5po/Ndufv3/Ndufa7/Ndufa11/Ndufa2/Ndufs8/Cox8a/ATP6/ND4",61
"Genetic Information Processing","Translation","mmu03010","Ribosome","76/717","328/11157",0.231707317073171,3.60552097152771,12.5516522790531,1.13961561159593e-23,4.65817881239837e-22,4.2585636012269e-22,"Mrps14/Rpl31/Rpl37a/Mrpl41/Rpl35/Rps21/Mrps26/Rpl39/Rpl36a/Mrps21/Rpl34/Rps8/Rps20/Mrpl20/Rpl9/Mrpl33/Mrps18c/Rpl21/Gm4963/Rpl32/Mrps33/Mrpl53/Rpl27a/Rpl28/Rps17/Rps15a/Rplp2/Rpl18/Rps11/Rps5/Rps16/Mrpl23/Rps19/Rpl6l/Rpl41/Rps26/Rps15/Mrpl54/Rps12/Uba52/Rpl18a/Mrpl34/Rpl13/Mrps16/Mrpl52/Rpl15/Rps25/Mrpl4/Rplp1/Rps27l/Rpl29/Rpl19/Rpl27/Rpl26/Mrpl22/Rpl38/Mrpl55/Rpl23a/Mrpl27/Mrps24/Mrpl36/Rps23/Mrps36/Rpl37/Rpl30/Rpl35a/Mrps6/Rps18/Rps2/Mrpl14/Mrps34/Rps28/Rpl36/Rpl10a/Rpl17/Rps14",76
"Human Diseases","Endocrine and metabolic disease","mmu04932","Non-alcoholic fatty liver disease","50/717","162/11157",0.308641975308642,4.80267575804535,12.7765255510011,1.08635963289141e-21,3.94710666617211e-20,3.60849281568608e-20,"Ndufb3/Cox5b/Ndufa8/Cox7b/Ndufa1/Ndufb11/Ndufb5/Ndufc1/Ndufs5/Ndufb6/Jun/Uqcrh/Prkag2/Cox6a1/Ndufa4/Ndufa5/Ndufa3/Ndufab1/Bax/Cox7a1/Cox6b1/Ddit3/Ndufs7/Uqcr11/Ndufa12/Ndufb7/Ndufa13/Cox4i1/Cox7a2/Cox5a/Pik3cb/Uqcrq/Ern1/Uqcr10/Ndufs6/Uqcrfs1/Cox7c/Uqcrb/Ndufb1/Ndufa6/Ndufb9/Ndufb4c/Cox6c/Ndufb4/Ndufv3/Ndufa7/Ndufa11/Ndufa2/Ndufs8/Cox8a",50
"Human Diseases","Neurodegenerative disease","mmu05014","Amyotrophic lateral sclerosis","78/717","374/11157",0.20855614973262,3.24527330901931,11.5744081650639,3.13883761663595e-21,1.02639990063996e-19,9.38347245394327e-20,"Ndufb3/Cox5b/Erbb4/Tomm40l/Atp5f1e/Map1lc3a/Atp5mc3/Nup35/Tubb4b/Ndufa8/Cox7b/Ndufa1/Ndufb11/Ndufb5/Ndufc1/Ndufs5/Ndufb6/Dctn3/Sigmar1/Uqcrh/Cox6a1/Nup210/Ndufa4/Ndufa5/Sem1/Ndufa3/Ndufab1/Bax/Cox7a1/Cox6b1/Kif5a/Ddit3/Chchd10/Ndufs7/Uqcr11/Ndufa12/Atp5f1d/Ndufb7/Ndufa13/Cox4i1/Psmb5/Cox7a2/Cox5a/Uqcrq/Gpx3/Ern1/Pfn1/Map2k6/Atp5pd/Uqcr10/Atp5mc1/Ndufs6/Uqcrfs1/Tubb2a/Cox7c/Uqcrb/Gpx6/Ndufb1/Ndufa6/Ndufb9/Ndufb4c/Cox6c/Tuba1b/Tuba1a/Atg101/Atp5mc2/Ndufb4/Chmp2b/Atp5pf/Atp5po/Ndufv3/Ndufa7/Ndufa11/Ndufa2/Ndufs8/Cox8a/ATP6/ND4",78
