#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
1700029P11Rik	Cox5a	10090.ENSMUSP00000074190	10090.ENSMUSP00000000090	0	0	0	0	0.691	0.607	0	0.065	0.876
1700029P11Rik	Ndufa11	10090.ENSMUSP00000074190	10090.ENSMUSP00000002452	0	0	0	0	0.539	0.784	0.720	0	0.969
1700029P11Rik	Ndufa2	10090.ENSMUSP00000074190	10090.ENSMUSP00000014438	0	0	0	0	0.748	0.784	0.720	0.090	0.984
1700029P11Rik	Ndufa1	10090.ENSMUSP00000074190	10090.ENSMUSP00000016571	0	0	0	0	0.169	0.548	0.720	0.066	0.888
1700029P11Rik	Uqcr11	10090.ENSMUSP00000074190	10090.ENSMUSP00000020372	0	0	0	0	0.541	0.607	0	0	0.811
1700029P11Rik	Uqcrb	10090.ENSMUSP00000074190	10090.ENSMUSP00000021993	0	0	0	0	0.337	0.643	0	0.065	0.759
1700029P11Rik	Ndufs6	10090.ENSMUSP00000074190	10090.ENSMUSP00000022097	0	0	0	0	0.583	0.559	0.720	0.140	0.949
1700029P11Rik	Ndufb9	10090.ENSMUSP00000074190	10090.ENSMUSP00000022980	0	0	0	0	0.814	0.744	0.720	0	0.985
1700029P11Rik	Ndufa6	10090.ENSMUSP00000074190	10090.ENSMUSP00000023085	0	0	0	0	0.320	0.784	0.720	0.137	0.959
1700029P11Rik	Ndufb4	10090.ENSMUSP00000074190	10090.ENSMUSP00000023514	0	0	0	0	0.631	0.555	0.720	0.053	0.950
1700029P11Rik	Ndufa5	10090.ENSMUSP00000074190	10090.ENSMUSP00000023851	0	0	0	0	0.457	0.598	0.720	0.177	0.942
1700029P11Rik	Ndufb3	10090.ENSMUSP00000074190	10090.ENSMUSP00000027193	0	0	0	0	0.198	0.631	0.720	0	0.909
1700029P11Rik	Ndufc2	10090.ENSMUSP00000074190	10090.ENSMUSP00000032882	0	0	0	0	0.758	0.664	0.720	0.159	0.978
1700029P11Rik	Ndufab1	10090.ENSMUSP00000074190	10090.ENSMUSP00000033157	0	0	0	0	0.496	0.638	0.720	0.126	0.949
1700029P11Rik	Cox7b	10090.ENSMUSP00000074190	10090.ENSMUSP00000033582	0	0	0	0	0.084	0.586	0	0.055	0.610
1700029P11Rik	Ndufb7	10090.ENSMUSP00000074190	10090.ENSMUSP00000037341	0	0	0	0	0.815	0.656	0.720	0.211	0.984
1700029P11Rik	Ndufc1	10090.ENSMUSP00000074190	10090.ENSMUSP00000038463	0	0	0	0	0.060	0.139	0.720	0	0.753
1700029P11Rik	Ndufa7	10090.ENSMUSP00000074190	10090.ENSMUSP00000039692	0	0	0	0	0.537	0.564	0.720	0.060	0.939
1700029P11Rik	Uqcrfs1	10090.ENSMUSP00000074190	10090.ENSMUSP00000045284	0	0	0	0	0.270	0.657	0	0.059	0.743
1700029P11Rik	Cox6a1	10090.ENSMUSP00000074190	10090.ENSMUSP00000047661	0	0	0	0	0.288	0.499	0	0	0.628
1700029P11Rik	Ndufv3	10090.ENSMUSP00000074190	10090.ENSMUSP00000049000	0	0	0	0	0.058	0.633	0.720	0.149	0.906
1700029P11Rik	Atp5k	10090.ENSMUSP00000074190	10090.ENSMUSP00000051222	0	0	0	0	0.638	0	0	0	0.638
1700029P11Rik	Uqcrq	10090.ENSMUSP00000074190	10090.ENSMUSP00000053145	0	0	0	0	0.579	0.657	0	0.128	0.863
1700029P11Rik	Uqcr10	10090.ENSMUSP00000074190	10090.ENSMUSP00000054856	0	0	0	0	0.391	0.657	0	0	0.782
1700029P11Rik	Cox7b2	10090.ENSMUSP00000074190	10090.ENSMUSP00000060890	0	0	0	0	0.114	0.495	0	0.053	0.539
1700029P11Rik	Ndufa8	10090.ENSMUSP00000074190	10090.ENSMUSP00000065352	0	0	0	0	0.709	0.414	0.720	0.068	0.949
1700029P11Rik	Cox7a1	10090.ENSMUSP00000074190	10090.ENSMUSP00000096193	0	0	0	0	0	0.607	0	0	0.607
1700029P11Rik	Cox6b1	10090.ENSMUSP00000074190	10090.ENSMUSP00000075150	0	0	0	0	0.206	0.499	0	0.102	0.611
1700029P11Rik	Cox6b2	10090.ENSMUSP00000074190	10090.ENSMUSP00000138709	0	0	0	0	0.222	0.499	0	0.102	0.619
1700029P11Rik	Cox6c	10090.ENSMUSP00000074190	10090.ENSMUSP00000123609	0	0	0	0	0.382	0.416	0	0.101	0.647
1700029P11Rik	Uqcrh	10090.ENSMUSP00000074190	10090.ENSMUSP00000077744	0	0	0	0	0.127	0.653	0	0.047	0.686
1700029P11Rik	Ndufb11	10090.ENSMUSP00000074190	10090.ENSMUSP00000112320	0	0	0.059	0.963	0	0	0.720	0	0.725
1700029P11Rik	Cox7c	10090.ENSMUSP00000074190	10090.ENSMUSP00000115419	0	0	0	0	0.262	0.607	0	0.137	0.727
1700029P11Rik	Ndufb2	10090.ENSMUSP00000074190	10090.ENSMUSP00000118918	0	0	0	0	0	0.095	0.720	0	0.735
1700029P11Rik	Ndufa4	10090.ENSMUSP00000074190	10090.ENSMUSP00000144932	0	0	0	0	0.101	0.066	0.720	0	0.744
1700029P11Rik	Atp5h	10090.ENSMUSP00000074190	10090.ENSMUSP00000102147	0	0	0	0	0.764	0	0	0	0.764
1700029P11Rik	Cox5b	10090.ENSMUSP00000074190	10090.ENSMUSP00000141554	0	0	0	0	0.582	0.506	0	0.057	0.788
1700029P11Rik	Atp5d	10090.ENSMUSP00000074190	10090.ENSMUSP00000101006	0	0	0	0	0.774	0	0	0.102	0.788
1700029P11Rik	Cox4i1	10090.ENSMUSP00000074190	10090.ENSMUSP00000138019	0	0	0	0	0.445	0.636	0	0.076	0.797
1700029P11Rik	Ndufb1-ps	10090.ENSMUSP00000074190	10090.ENSMUSP00000159138	0	0	0	0	0.104	0.558	0.720	0.135	0.891
1700029P11Rik	mt-Nd4	10090.ENSMUSP00000074190	10090.ENSMUSP00000081000	0	0	0	0	0	0.659	0.720	0.120	0.908
1700029P11Rik	Ndufa3	10090.ENSMUSP00000074190	10090.ENSMUSP00000075953	0	0	0	0	0.267	0.625	0.720	0.088	0.920
1700029P11Rik	Ndufa13	10090.ENSMUSP00000074190	10090.ENSMUSP00000105796	0	0	0	0	0.665	0.415	0.720	0.101	0.944
1700029P11Rik	Ndufb5	10090.ENSMUSP00000074190	10090.ENSMUSP00000114963	0	0	0	0	0.581	0.666	0.720	0.102	0.960
1700029P11Rik	Ndufs8	10090.ENSMUSP00000074190	10090.ENSMUSP00000158541	0	0	0	0	0.746	0.698	0.720	0.045	0.976
1700029P11Rik	Ndufa12	10090.ENSMUSP00000074190	10090.ENSMUSP00000136313	0	0	0	0	0.633	0.784	0.720	0.120	0.977
1700029P11Rik	Ndufs5	10090.ENSMUSP00000074190	10090.ENSMUSP00000101813	0	0	0	0	0.629	0.784	0.720	0.101	0.977
1700029P11Rik	Ndufs7	10090.ENSMUSP00000074190	10090.ENSMUSP00000101003	0	0	0	0	0.814	0.627	0.720	0.081	0.979
1700029P11Rik	Ndufb6	10090.ENSMUSP00000074190	10090.ENSMUSP00000092746	0	0	0	0	0.736	0.757	0.720	0	0.980
Atp5d	Cox5a	10090.ENSMUSP00000101006	10090.ENSMUSP00000000090	0	0	0	0	0.934	0.282	0	0.723	0.985
Atp5d	Ndufa11	10090.ENSMUSP00000101006	10090.ENSMUSP00000002452	0	0	0	0	0.708	0	0	0.353	0.803
Atp5d	Atp6v1f	10090.ENSMUSP00000101006	10090.ENSMUSP00000004396	0	0	0	0	0.245	0	0.720	0.605	0.909
Atp5d	Ndufa2	10090.ENSMUSP00000101006	10090.ENSMUSP00000014438	0	0	0	0	0.412	0	0	0.484	0.684
Atp5d	Atp5e	10090.ENSMUSP00000101006	10090.ENSMUSP00000016396	0	0	0	0	0.355	0.983	0.900	0.870	0.999
Atp5d	Ndufa1	10090.ENSMUSP00000101006	10090.ENSMUSP00000016571	0	0	0	0	0.299	0	0	0.431	0.584
Atp5d	Uqcr11	10090.ENSMUSP00000101006	10090.ENSMUSP00000020372	0	0	0	0	0.786	0	0	0.565	0.903
Atp5d	Cox11	10090.ENSMUSP00000101006	10090.ENSMUSP00000020851	0	0	0	0	0.096	0	0	0.539	0.566
Atp5d	Uqcrb	10090.ENSMUSP00000101006	10090.ENSMUSP00000021993	0	0	0	0	0.849	0	0	0.519	0.924
Atp5d	Ndufs6	10090.ENSMUSP00000101006	10090.ENSMUSP00000022097	0	0	0	0	0.851	0.077	0	0.453	0.918
Atp5d	Ndufb9	10090.ENSMUSP00000101006	10090.ENSMUSP00000022980	0	0	0	0	0.870	0.077	0	0.489	0.933
Atp5d	Ndufa6	10090.ENSMUSP00000101006	10090.ENSMUSP00000023085	0	0	0	0	0.494	0	0	0.309	0.636
Atp5d	Ndufb4	10090.ENSMUSP00000101006	10090.ENSMUSP00000023514	0	0	0	0	0.485	0.076	0	0.439	0.710
Atp5d	Atp5j	10090.ENSMUSP00000101006	10090.ENSMUSP00000023608	0	0	0	0	0.537	0.982	0.720	0.745	0.999
Atp5d	Atp5o	10090.ENSMUSP00000101006	10090.ENSMUSP00000023677	0.223	0	0	0	0.951	0.983	0.900	0.847	0.999
